73.49	6.10	-15.42
73.53	6.10	-15.43
73.55	6.10	-15.43
73.57	6.10	-15.43
73.60	6.10	-15.43
73.62	6.10	-15.42
73.65	6.10	-15.43
73.67	6.10	-15.43
73.70	6.10	-15.44
73.72	6.10	-15.43
73.74	6.10	-15.41
74.11	6.08	-15.26
74.13	6.08	-15.27
74.16	6.07	-15.25
74.18	6.08	-15.25
74.21	6.07	-15.23
74.24	6.07	-15.21
74.27	6.07	-15.20
74.29	6.08	-15.20
74.32	6.08	-15.20
74.34	6.08	-15.21
74.36	6.08	-15.20
74.39	6.07	-15.19
74.42	6.07	-15.21
74.43	6.07	-15.20
74.47	6.07	-15.19
74.49	6.07	-15.20
74.83	6.07	-15.19
74.86	6.06	-15.19
74.88	6.07	-15.19
74.90	6.06	-15.19
74.94	6.07	-15.19
74.96	6.07	-15.19
74.98	6.07	-15.19
75.01	6.06	-15.19
75.03	6.07	-15.19
75.06	6.06	-15.19
75.09	6.06	-15.19
75.11	6.06	-15.20
75.13	6.06	-15.19
75.16	6.06	-15.20
75.19	6.06	-15.20
75.21	6.06	-15.21
75.55	6.06	-15.23
75.57	6.06	-15.22
75.60	6.06	-15.20
75.63	6.06	-15.19
75.65	6.06	-15.20
75.67	6.06	-15.21
75.70	6.06	-15.20
75.72	6.06	-15.20
75.74	6.06	-15.21
75.78	6.06	-15.21
75.80	6.06	-15.20
75.83	6.06	-15.20
75.85	6.06	-15.20
75.87	6.06	-15.20
75.90	6.06	-15.20
75.93	6.07	-15.20
76.25	6.09	-15.48
76.29	6.08	-15.43
76.31	6.08	-15.38
76.35	6.08	-15.33
76.38	6.07	-15.25
76.41	6.07	-15.20
76.44	6.07	-15.20
76.46	6.07	-15.24
76.47	6.08	-15.33
76.49	6.08	-15.43
76.50	6.09	-15.47
76.52	6.09	-15.45
76.52	6.09	-15.45
76.51	6.07	-15.47
76.53	6.07	-15.49
76.56	6.07	-15.50
77.06	6.02	-15.58
77.16	6.02	-15.58
77.24	6.04	-15.59
77.32	6.08	-15.62
77.38	6.11	-15.69
77.48	6.16	-15.77
77.62	6.26	-15.84
77.74	6.42	-15.88
77.83	6.50	-15.92
77.90	6.54	-15.92
77.96	6.52	-15.88
78.02	6.42	-15.79
78.07	6.25	-15.65
78.14	6.16	-15.53
78.22	6.10	-15.59
78.33	6.08	-15.56
79.57	6.23	-15.43
79.62	6.23	-15.42
79.68	6.23	-15.38
79.71	6.24	-15.34
79.74	6.23	-15.32
79.76	6.22	-15.33
79.79	6.23	-15.30
79.82	6.22	-15.28
79.84	6.21	-15.28
79.88	6.22	-15.24
79.91	6.21	-15.21
79.93	6.21	-15.18
79.96	6.20	-15.12
79.99	6.19	-15.11
80.01	6.19	-15.15
80.04	6.19	-15.15
80.37	6.19	-15.30
80.39	6.19	-15.31
80.41	6.18	-15.39
80.43	6.18	-15.40
80.46	6.18	-15.39
80.48	6.19	-15.40
80.51	6.18	-15.39
80.52	6.18	-15.37
80.53	6.17	-15.38
80.56	6.18	-15.41
80.58	6.18	-15.41
80.61	6.17	-15.40
80.63	6.16	-15.35
80.66	6.14	-15.28
80.70	6.14	-15.23
80.73	6.13	-15.21
83.76	6.76	-16.28
84.01	6.98	-16.44
84.24	7.17	-16.57
84.46	7.32	-16.70
84.69	7.42	-16.82
84.96	7.47	-16.89
85.27	7.51	-16.89
85.57	7.58	-16.92
85.85	7.61	-16.98
86.13	7.61	-17.07
86.44	7.59	-17.15
86.81	7.53	-17.20
87.25	7.41	-17.21
87.74	7.23	-17.21
88.24	7.05	-17.24
88.77	6.80	-17.20
99.73	4.97	-15.33
100.73	5.09	-15.18
101.78	5.24	-15.05
102.88	5.44	-14.96
104.01	5.65	-14.88
105.12	5.86	-14.76
106.24	6.12	-14.65
107.36	6.40	-14.55
108.42	6.69	-14.47
109.44	6.99	-14.36
110.47	7.30	-14.23
111.50	7.62	-14.08
112.54	7.94	-13.93
113.53	8.26	-13.75
114.50	8.57	-13.54
115.47	8.88	-13.35
131.19	11.44	-11.61
132.43	11.49	-11.49
133.70	11.50	-11.39
134.96	11.46	-11.33
136.22	11.36	-11.27
137.48	11.22	-11.18
138.78	11.03	-11.10
140.11	10.80	-11.08
141.42	10.52	-11.07
142.70	10.21	-11.06
143.96	9.90	-11.04
145.23	9.60	-11.03
146.51	9.31	-11.04
147.80	9.02	-11.10
149.04	8.73	-11.17
150.26	8.49	-11.20
165.51	6.52	-11.13
166.51	6.34	-11.06
167.52	6.18	-10.98
168.55	6.04	-10.92
169.60	5.91	-10.88
170.65	5.79	-10.87
171.70	5.66	-10.85
172.71	5.55	-10.82
173.71	5.45	-10.79
174.72	5.38	-10.76
175.74	5.34	-10.71
176.75	5.32	-10.67
177.75	5.31	-10.65
178.72	5.30	-10.64
179.68	5.29	-10.64
-179.37	5.30	-10.66
-168.06	5.76	-10.59
-167.28	5.71	-10.46
-166.51	5.64	-10.29
-165.72	5.54	-10.11
-164.95	5.43	-9.96
-164.20	5.31	-9.87
-163.46	5.18	-9.81
-162.71	5.04	-9.77
-161.93	4.94	-9.71
-161.12	4.89	-9.65
-160.31	4.89	-9.59
-159.50	4.93	-9.54
-158.67	5.01	-9.53
-157.79	5.10	-9.51
-156.88	5.26	-9.49
-155.94	5.47	-9.45
-144.03	5.84	-9.58
-143.10	5.72	-9.69
-142.17	5.62	-9.81
-141.23	5.52	-9.96
-140.30	5.41	-10.05
-139.39	5.29	-10.06
-138.53	5.19	-10.04
-137.71	5.11	-10.04
-136.91	5.03	-10.03
-136.11	4.91	-10.02
